x,y,vx,vy,ax,ay
146.330806,90.525327,48.107877,15.125141,-0.406741,-9.929396
146.775191,90.663797,48.104084,15.033382,-0.406624,-9.928594
147.222305,90.804494,48.100364,14.941707,-0.406509,-9.927793
147.666620,90.941264,48.096574,14.849963,-0.406394,-9.926991
148.113664,91.080262,48.092856,14.758302,-0.406279,-9.926191
148.557910,91.215333,48.089068,14.666573,-0.406165,-9.925391
149.004884,91.352631,48.085352,14.574927,-0.406051,-9.924591
149.449061,91.486003,48.081566,14.483213,-0.405937,-9.923792
149.895965,91.621602,48.077852,14.391582,-0.405825,-9.922994
150.340073,91.753275,48.074068,14.299883,-0.405712,-9.922195
150.786908,91.887175,48.070356,14.208266,-0.405600,-9.921398
151.230946,92.017150,48.066574,14.116582,-0.405487,-9.920600
151.677711,92.149351,48.062865,14.024980,-0.405376,-9.919804
152.121680,92.277628,48.059085,13.933310,-0.405265,-9.919008
152.568375,92.408131,48.055377,13.841723,-0.405154,-9.918212
153.012275,92.534710,48.051600,13.750068,-0.405044,-9.917417
153.458901,92.663514,48.047894,13.658496,-0.404934,-9.916622
153.902732,92.788396,48.044118,13.566855,-0.404824,-9.915828
154.349288,92.915503,48.040415,13.475297,-0.404716,-9.915034
154.793050,93.038687,48.036641,13.383672,-0.404607,-9.914240
155.239537,93.164096,48.032940,13.292129,-0.404499,-9.913448
155.683229,93.285583,48.029168,13.200518,-0.404391,-9.912655
156.129647,93.409295,48.025468,13.108989,-0.404283,-9.911863
156.573270,93.529085,48.021698,13.017393,-0.404176,-9.911071
157.019619,93.651100,48.018001,12.925879,-0.404070,-9.910281
157.463173,93.769194,48.014233,12.834297,-0.403963,-9.909490
157.909452,93.889512,48.010538,12.742798,-0.403858,-9.908700
158.352937,94.005910,48.006772,12.651231,-0.403752,-9.907910
158.799147,94.124531,48.003078,12.559746,-0.403648,-9.907121
159.242563,94.239233,47.999314,12.468193,-0.403543,-9.906332
159.688703,94.356158,47.995623,12.376723,-0.403439,-9.905544
160.132051,94.469165,47.991861,12.285185,-0.403335,-9.904756
160.578122,94.584394,47.988171,12.193730,-0.403232,-9.903968
161.021401,94.695705,47.984411,12.102206,-0.403129,-9.903181
161.467403,94.809238,47.980723,12.010765,-0.403027,-9.902395
161.910613,94.918854,47.976965,11.919256,-0.402924,-9.901608
162.356545,95.030692,47.973279,11.827830,-0.402823,-9.900823
162.799686,95.138613,47.969522,11.736335,-0.402722,-9.900037
163.245550,95.248755,47.965838,11.644923,-0.402621,-9.899253
163.688622,95.354982,47.962084,11.553443,-0.402521,-9.898468
164.134416,95.463430,47.958402,11.462046,-0.402421,-9.897684
164.577420,95.567962,47.954649,11.370580,-0.402321,-9.896900
165.023145,95.674715,47.950969,11.279198,-0.402223,-9.896117
165.466081,95.777553,47.947218,11.187746,-0.402124,-9.895334
165.911736,95.882612,47.943539,11.096378,-0.402026,-9.894552
166.354603,95.983756,47.939790,11.004941,-0.401928,-9.893770
166.800190,96.087121,47.936113,10.913587,-0.401831,-9.892989
167.242988,96.186572,47.932366,10.822165,-0.401734,-9.892207
167.688506,96.288243,47.928691,10.730826,-0.401638,-9.891427
168.131236,96.386000,47.924946,10.639418,-0.401541,-9.890646
168.576684,96.485978,47.921273,10.548093,-0.401446,-9.889867
169.019345,96.582042,47.917529,10.456699,-0.401351,-9.889087
169.464725,96.680326,47.913858,10.365389,-0.401256,-9.888308
169.907318,96.774698,47.910116,10.274010,-0.401162,-9.887529
170.352629,96.871289,47.906446,10.182713,-0.401068,-9.886751
170.795153,96.963969,47.902706,10.091349,-0.400975,-9.885973
171.240395,97.058867,47.899038,10.000067,-0.400882,-9.885195
171.682851,97.149854,47.895299,9.908717,-0.400789,-9.884418
172.128024,97.243060,47.891633,9.817449,-0.400698,-9.883641
172.570411,97.332355,47.887896,9.726113,-0.400606,-9.882865
173.015516,97.423869,47.884232,9.634860,-0.400515,-9.882089
173.457835,97.511473,47.880497,9.543538,-0.400424,-9.881313
173.902870,97.601294,47.876834,9.452299,-0.400334,-9.880538
174.345121,97.687206,47.873100,9.360992,-0.400244,-9.879763
174.790088,97.775336,47.869439,9.269768,-0.400155,-9.878989
175.232270,97.859558,47.865707,9.178475,-0.400066,-9.878214
175.677168,97.945996,47.862048,9.087264,-0.399977,-9.877441
176.119282,98.028526,47.858318,8.995986,-0.399889,-9.876667
176.564112,98.113274,47.854660,8.904790,-0.399802,-9.875894
177.006158,98.194113,47.850931,8.813525,-0.399714,-9.875121
177.450918,98.277170,47.847275,8.722344,-0.399628,-9.874349
177.892896,98.356319,47.843548,8.631094,-0.399541,-9.873577
178.337588,98.437685,47.839893,8.539926,-0.399456,-9.872805
178.779498,98.515145,47.836168,8.448690,-0.399370,-9.872034
179.224121,98.594820,47.832515,8.357537,-0.399286,-9.871263
179.665963,98.670590,47.828791,8.266316,-0.399201,-9.870492
180.110518,98.748575,47.825139,8.175177,-0.399118,-9.869722
180.552291,98.822655,47.821417,8.083969,-0.399034,-9.868952
180.996777,98.898950,47.817767,7.992845,-0.398951,-9.868183
181.438482,98.971341,47.814046,7.901651,-0.398868,-9.867413
181.882900,99.045947,47.810398,7.810541,-0.398786,-9.866644
182.324537,99.116649,47.806679,7.719362,-0.398704,-9.865875
182.768887,99.189565,47.803032,7.628266,-0.398623,-9.865107
183.210456,99.258579,47.799314,7.537101,-0.398542,-9.864339
183.654737,99.329806,47.795669,7.446019,-0.398462,-9.863572
184.096238,99.397131,47.791952,7.354868,-0.398382,-9.862804
184.540450,99.466669,47.788308,7.263800,-0.398303,-9.862037
184.981883,99.532306,47.784594,7.172664,-0.398224,-9.861270
185.426027,99.600156,47.780951,7.081610,-0.398146,-9.860504
185.867393,99.664105,47.777238,6.990488,-0.398067,-9.859738
186.311468,99.730266,47.773597,6.899448,-0.397990,-9.858972
186.752766,99.792527,47.769885,6.808340,-0.397913,-9.858207
187.196773,99.857001,47.766245,6.717315,-0.397837,-9.857442
187.638002,99.917575,47.762534,6.626221,-0.397760,-9.856677
188.081941,99.980360,47.758896,6.535209,-0.397685,-9.855912
188.523103,100.039247,47.755187,6.444130,-0.397609,-9.855148
188.966973,100.100345,47.751550,6.353132,-0.397535,-9.854384
189.408067,100.157545,47.747843,6.262067,-0.397460,-9.853620
189.851869,100.216956,47.744207,6.171084,-0.397387,-9.852857
190.292895,100.272469,47.740501,6.080032,-0.397313,-9.852093
190.736629,100.330193,47.736867,5.989063,-0.397241,-9.851331
191.177587,100.384020,47.733162,5.898025,-0.397168,-9.850568
191.621253,100.440057,47.729529,5.807070,-0.397096,-9.849806
192.062144,100.492198,47.725825,5.716047,-0.397024,-9.849044
192.505741,100.546549,47.722194,5.625106,-0.396954,-9.848282
192.946564,100.597004,47.718491,5.534097,-0.396883,-9.847520
193.390093,100.649669,47.714861,5.443170,-0.396813,-9.846759
193.830848,100.698438,47.711160,5.352175,-0.396743,-9.845998
194.274310,100.749417,47.707531,5.261262,-0.396674,-9.845238
194.714997,100.796500,47.703831,5.170281,-0.396605,-9.844477
195.158390,100.845794,47.700204,5.079382,-0.396538,-9.843717
195.599009,100.891192,47.696505,4.988415,-0.396470,-9.842957
196.042335,100.938800,47.692879,4.897530,-0.396403,-9.842198
196.482886,100.982514,47.689181,4.806577,-0.396336,-9.841438
196.926144,101.028437,47.685556,4.715707,-0.396270,-9.840679
197.366628,101.070466,47.681860,4.624767,-0.396204,-9.839920
197.809817,101.114704,47.678236,4.533911,-0.396139,-9.839161
198.250233,101.155049,47.674541,4.442986,-0.396073,-9.838402
198.693354,101.197602,47.670919,4.352143,-0.396009,-9.837644
199.133703,101.236263,47.667225,4.261232,-0.395945,-9.836886
199.576756,101.277132,47.663604,4.170404,-0.395882,-9.836129
200.017038,101.314110,47.659911,4.079506,-0.395819,-9.835371
200.460023,101.353294,47.656291,3.988692,-0.395757,-9.834614
200.900236,101.388588,47.652599,3.897809,-0.395694,-9.833856
201.343153,101.426089,47.648980,3.807008,-0.395633,-9.833100
